function_id,best,worst,mean,median,std_dev
1,-5961622284841.336,-4293737390615.88,-4953291219704.722,-4912918732296.967,427776985987.60034
2,-5.639050218772334e+192,-8.444426987254527e+170,-2.8339072482116623e+191,-2.0175592489736494e+181,inf
3,-1159666.8892340674,-700886.1887586898,-922774.0159909325,-919161.887714778,112431.81824610368
4,-305748.38170976547,-150402.6780854942,-220192.1282651644,-221226.77005875407,38940.284795568696
5,-2968.8540649442266,-2383.0709306979393,-2691.6329389830976,-2704.046134308368,154.60963969701743
6,-768.5155882728492,-728.7160706108355,-752.4926078768042,-752.1328412892674,10.971079781859439
7,-12362.380145039318,-9590.911712003088,-11044.181443710528,-11207.818675616789,692.7225818573295
8,-3399.5711700822635,-2836.2257061740524,-3048.455878833184,-3012.049799158311,147.82416492271844
9,-101439.3280317097,-60004.7966324878,-83564.35695807605,-83897.397292312,10978.572277764917
10,-33684.91226526762,-29648.43458646269,-31617.223760385852,-31706.186687200683,1035.5848998964593
11,-867521.1514117322,-293149.9504646086,-507101.1478795139,-486436.3379766011,143742.95849300982
