function_id,min_time_sec,max_time_sec,mean_time_sec,median_time_sec,std_time_sec
1,0.2327718734741211,0.2527613639831543,0.23719068765640258,0.23560726642608643,0.004511911361823748
2,0.41626548767089844,0.42820239067077637,0.42156760692596434,0.4212050437927246,0.003749926113896144
3,0.2710745334625244,0.2804582118988037,0.2737613320350647,0.2733803987503052,0.002030278796663644
4,0.2758026123046875,0.28066158294677734,0.277449357509613,0.2772092819213867,0.0014694527091421768
5,0.2930169105529785,0.3095221519470215,0.3010730504989624,0.29792332649230957,0.006374497027932714
6,0.2930870056152344,0.305889368057251,0.2993008017539978,0.29971063137054443,0.0030727718714828704
7,0.42833757400512695,0.4466676712036133,0.4388598918914795,0.4399747848510742,0.005513174877260468
8,0.3441009521484375,0.3529551029205322,0.34644216299057007,0.3459360599517822,0.0019037491135844764
9,0.3112049102783203,0.33652353286743164,0.31488038301467897,0.3134913444519043,0.005319710063651945
10,0.5321824550628662,0.55745530128479,0.5450130820274353,0.5455808639526367,0.006909962760386216
